|Index|Comment|Positive
99|99|Love auto delivery. Perfect for me as the coffee is of great import in my life (in other words, if I don't have it, I am NOT happy! But- watch the prices as they seem to change from month to month. If you stay on top of that, its great!|1
100|100|Great beans. I go back to this often for my espresso machine. Keeps well and smells amazing.|1
101|101|"We ordered in mid-August. Product was roasted in January, and the ""best buy"" date was April.The coffee is vacuum-packed and tastes fine. I  would prefer that the product arrive before its ""best buy"" date has expired."|1
102|102|"Pete's Italian Roast is great!  But if the beans are not fresh, it tastes like what it is--coffee that has sat around too long before it has been ground and brewed.  My orders arrived too close to the ""best before"" date for the coffee to be good."|0
103|103|"Holy Crap!!! If you like dark roast coffee then this is the coffee for you! From now on this is the only coffee I'm going to buy. It has a rich, dark, incredibly robust flavor. I never thought I would ever use the words ""robust flavor"" in my life but it fits. I opened the package, made a cup with my french press and walked out of the room. Came back in an hr later and I could still smell that great smell. Buy this and you won't regret it."|1
104|104|How do I love thee? Let me count the ways:1) You are always roasted dark and rich without any hint of burnt beans (I am scowling at you Starbucks!)2) You go through our superautomatic espresso machine without clogging up the works3) You are so well balanced that my hubby likes you black and you are robust enough to withstand my cream and vanilla sugar4) You are priced right for how good you are and are on sale oftenThank you for waking us up with a smile on our faces!|1
105|105|I adore strong coffee but most every decaf blend has been sorely lacking. This is every bit as great as a regular caffeinated bold roast and I could not be more thrilled.|1
106|106|Peets Decaf is as strong as regular -- and that is almost impossible to find. It brews into a full-bodied cup of coffee!  It tastes the same as their  non-decaf,  and I've been searching for that for years. Thank you, Peets.|1
107|107|The best decaf you will ever drink. None of their blends has that horrible decaf taste. This is the only decaf I buy. I can't say enough good about it.  Anytime people come by they ask what the brand is.|1
108|108|This coffee is amazing!  I love Peets!  I had bought it in March for my daughter for her Bday.  She loved it so much, I decided to try.  ...so good!|1
109|109|My fav coffee. I use the caffeinated in the morning. Serve the decaf at night for dinner parties.  Sometimes I mix the two to lower the caffeine but still give me a morning jolt. If you like strong bold coffee that goes down smooth this is GREAT!|1
110|110|Peet’s Whole Bean Italian Roast is simply the best coffee you can buy anywhere, period. I get six bags in regular monthly shipments for a 5% discount. Best deal in town.|1
111|111|Not happy about this at all. I received 2 bags of ground coffee that had expiration of Feb 11 2018. I received on Feb. 6th. It will take almost 2 months to go through this coffee, well past expiration, not right and contemplating buying elsewhere.|0
112|112|Really love this rich, dark coffee - this is our go-to daily coffee. Roasted date is recent - no worries about getting old coffee here, and, it's WAY cheaper on Amazon - $6 (with Amazon Subscribe & Save) versus $9 at our local grocery store!|1
113|113|"This is my favorite grocery store coffee. I was pleased that the package I received wasn't even close to the ""best by"" date (especially since I ordered it when when there was a price drop)."|1
114|114|Best decaf ever. Full body taste , no bitterness or buzz.|1
115|115|The freshest and the best, especially ifyou’re a dark roast fan!|1
116|116|I made this in exactly the same way I always make coffee in my small two cup pot. It was very smooth but flat with no body!  I like coffee a bit strong with a little bite. This was not that...Blah! Now I'll have to suffer with it until it's gone or throw it away. Sorry, Peet's!|0
117|117|Roast date on pkg was within 20 days of purchase date both times I bought from Amazon.  Peets is the only brand that puts that date front and center.  Will be my staple coffee until I can find something fresher.|1
118|118|This was on my regular Subscribe & Save Delivery.  Today, I received my normal 4 packages with Roasted Dates of 04/05/2018, Freshest by 07/04 which is only two weeks out.  No way will wel consume 4 packages in 2 weeks.  Previous deliveries were roasted within the previous month with a two month freshest by window.  Removing from my Subscribe & Save list...|0
119|119|LOVE THIS BEAN!! A big box shows up and my mornings are much better. 😊👍🏻☕️☕️☕️|1
120|120|This is about as good as decaf gets and it is nice to know it was processed in a wholesome way. As far as the price, I got it as an add-on item, at just under seven dollars. The time before I had looked, the price was twice as expensive. Now I now how good the coffee is, when the price is reasonable again I'll stock up.|1
121|121|Best coffee that I've ever tasted !!!First time I used a french press as well ☕Spend and extra 20 bucks on a grinder ... it makes a world of a difference 🌎#WHOLEBEANS #PETESCOFFEW #FRENCHPRESS #THEBEST|1
122|122|By far my husband'a very favorite coffee! He loves everything about it, so I keep several bags in the house all of the time. Our visitors always loves it too!|1
123|123|By far our favorite coffee of all time.  Not too strong, very smooth with no bitter aftertaste.  Truly the best coffee we have had anywhere.  We keep this stocked at our house all the time and it's the only coffee I brew daily.  We keep trying other coffees as a backup/replacement as our store no longer carries the Cafe Domingo,  but we haven't found anything that we like near as much as this.|1
124|124|"The coffee is tasty and not at all bitter.  I was just expecting a little more ""bang"" of flavor given the name.  I would buy Peet's again but will look for a different roast/flavor."|1
125|125|"Great coffee, but these arrived most of the way through their short shelf life, so subscribing to a monthly batch of these would mean a very old grind half the time.  I guess people who care more grind their own beans, but even for my low-end palette, I try to keep myself within the ""use by"" date, and a monthly delivery of a three-week-old grind isn't a good deal. I'll keep stocking up locally."|0
126|126|burnt and bitter---Just like Sturbaux. Need milk and sugar. You either like it or hate it.|0
127|127|Smooth and beautiful. Can't wait to tr the their flavors. Just wish amazon offered more in whole bean.|1
128|128|I have been very disappointed with many brands of coffee over the last few years but I have recently discovered Peet's and have tried several of their medium roasts settling on Cafe Domingo. It's loaded with flavor and has a satisfying finish.|1
129|129|The coffee is fantastic....Wish it was in a package with no aluminum inside, but it tastes wonderful!!  The USPS delivered it, and though my address says BACK APARTMENT, they give it to my neighbor in front of the building.  There was never an instruction to do that, and they are the only delivery service that screws up all the time.|1
130|130|Found this gem at the grocery store and decided to give it a try. I'm now addicted to the flavor.|1
131|131|I Just received a new order of this coffee and the roasting date is older then the previous order from 3 weeks ago. I expect newer/fresher. Buyer beware.|0
132|132|I use this coffee half-and-half with Peet's regular French roast. I cannot tell you how much I love it. The local store literally can't keep it on the shelves.|1
133|133|If you think coffee is just coffee, you haven't tried Peet's! This blend is so smooth and not the least bit bitter. My son, who believes all coffee tastes the same, is even impressed.|1
134|134|Very decent coffee that has a lighter medium roast. I see this coffee as a  reasonable choice for a budget choice but think personally the Equal Exchange Mind Body and Soul to be a better choice.|1
135|135|My absolute favorite blend. Very smooth. Has a slightly sweet taste with little bitterness.|1
136|136|My favorite coffee, dark roast, high caffeine, smooth flavor, and perfect for a French press. It's my weekend morning treat. I can buy it cheaper on Amazon than I can at the grocery store.|1
137|137|I like to roast my own beans but sometimes it just doesn't get done. So when I need a fallback, this is it! Good flavor for a store bought bean. Never bitter.|1
138|138|GREAT COFFEE FOLKS ESPECIALLY WHEN USED WITH MY FRENCH PRESS !!!|1
139|139|The price online is slightly cheaper than in the supermarkets but it's difficult to find the 20oz bags anywhere.  I absolutely love Peets and recommend every roast possible, although my favorite is Major Dickinson (bold flavor).  Stock up!|1
140|140|I have been searching for Brazilian coffee, sadly it is hard to acquire lately. I use this in a pour over and it is very flavorful. I find it fits the bill for a decent medium blend.|1
141|141|This is the best decaf coffee ever.  We love it and never use any other kind. It dark roast, rich and strong coffee.|1
142|142|This is always my favorite coffee and it arrives quickly enough that it is fresh for a few weeks! The small size allows me to drink it and not have it all go back.It has a chocolate-y flavor and I like it best brewed strong with added heavy whipping cream.|1
143|143|Favorite coffee; smells amazing!|1
144|144|We always like Peet’s coffees, and this is another to add to that list. We like a small cup of french-pressed strong coffee after dinner, and this suits us nicely for that purpose.|1
145|145|This is my favorite coffee of all time. Dark roast, super caffeinated, just lovely in my French press. When I have guests, they always want to know what brand I'm using.|1
146|146|love this coffee.  Have been drinking it for about 5 years!!  Frequently the best price is from Amazon.  The roasted date is usually good too, except for the time I ordered 3 in a subscribe and save shipment. The coffee was just as tasty at the end of those 3 bags as it was the first, so if I get an older 'roasted on date', no cause for concern.|1
147|147|I love Peets Coffee and Major Dickasons is my all time favorite.  I would only buy this in my local supermarket when it was on sale which lateley has been non existent.  I only drink this coffee on the weekends because I will not rush it. I want to be able to sit and relax and enjoy every drop.When I saw the price I was so happy and since I am a prime member I got it fast and free (shipping that is).  I will definetely order it again.|1
148|148|Peet's is one of my favorite. Major Dickason's is a really flavorful and dark blend, tiny bit of smokiness. It's great to mix with other blends of coffee as well.|1
149|149|The coffee beans are quite old. The shelf life expires October 2018. They are ok, but should be sold at a discounted price due to lack of freshness. I had to mix the beans with fresh beans to use them...|0
150|150|Might be the best coffee I have ever had.  Excellent flavor and aroma.  Been buying it for gifts too.  And yes it did go up in price!!|1
151|151|Big Bang whole bean roast is so good, it compares favorably to stuff I can get from local roasters. Definitely one of my monthly staples.|1
152|152|I just received my second order of this coffee and we love it. It is so smooth and not bitter. It's my new favorite!|1
153|153|Fantastic coffee!|1
154|154|I saw a review online that listed this as one of the best coffees out there so I ordered it for my husband. He says it really is good. I will be purchasing this again.|1
155|155|Very strong coffee when making espresso, far bitter to my taste. After this I will go back to the Major Dickason's Blend.|0
156|156|this is the best coffee i have purchased from Amazon.  If you like a robust coffee, I would highly reccommed it.|1
157|157|I tried this with my ninja coffee machine and used the cafe setting and it tastes great!!!|1
158|158|Meh... It's like normal coffee.  Guess I'm getting to be a coffee snob.  It was fresh though so I gave it 4 stars|1
159|159|Love the product but again, shipped from amazon, vacuum seal was broken.  That is the whole point of keeping coffee beans fresh.  How do I get a refund?!|0
160|160|Excellent!  Trying to cut back on caffeine and this coffee tastes just like regular coffee!|1
161|161|For me it's a medium roast. Though it has a good taste, it can't compete with Starbucks espresso roast because it is not dark enough.|0
162|162|Very close to the best to be consumed date. Less than two weeks left...|0
163|163|Fresh ground, this is hands down my favorite coffee to brew in my French press.  It has so much flavor and is so reasonably priced!|1
164|164|Have used Peet’s for several years; when only available online. After trip to Italy, wanted good espresso & found this to be quite good! Still miss Italy, but duh!|1
165|165|Best decaffeinated coffee ever. This stuff ricks hard. I love it. No decaf taste and its full bodied and strong like I used to drink before I had to switch to decaf.|1
166|166|Best tasting coffee ever! And love the smell too. When you taste this coffee, you will think Dunkin Donuts coffee is fake. I put this already on my subscribe & save|1
167|167|My go-to brand and flavor for most occasions, like just waking up on a typical morning. If you like it and want to keep it on stock, it's cheaper on Amazon or on the Peet's website than buying in most stores.|1
168|168|Not saying anything negative about the coffee or the maker, but I honestly hated the taste of this coffee.  Just tasted awful.|0
169|169|I love, love, this coffee.  I have used it every morning for at least a year and I never get tired of it.|1
170|170|I don't really care for the taste of coffee, especially Starbucks. Peet's coffee is freakin delicious!|1
171|171|Coffee had old expiration date|0
172|172|Damn! This stuff is good.I just had my first cup and it's better than the caffeinated dark roast blend I'm using right now.If you've been trying to find something that's decaf, that has the same boldness of fully-leaded joe, then this is it!Wow, to be honest, this is better. I'm a fan. Plain and simple.|1
173|173|Makes delicious cold brew, the perfect amount of sweet and bitter when a splash of cream is added.|1
174|174|I'ts not that I hate the coffee, I love Peet's, but Amazon gave me 2 bags of nearly expired coffee!! Today's date: 12/15/2017. Bag date: 12/17/2017. I'm pretty pissed.|0
175|175|Taste is obviously subjective, but this coffee has a little too much of a unique flavor for my liking.|0
176|176|Excellent coffee but surprised and disappointed that this expires in just a couple of weeks.  5 for taste, 2 for being forced to use it so quickly.|0
177|177|This is pretty good for regular drip coffee. The greatest thing is that it's available on Amazon and in n many grocery stores. I would not use this for espresso though. I did and was not satisfied with the quality of flavor.|1
178|178|This roast makes my stomach sick. Ive ordered the Major Dickasons roast multiple times before and I was impressed by the flavor and wanted to try a lighter roast from this brand. I've tried multiple brewing methods: French press, cold brew, and pour over; each method makes my stomach upset. It has an okay flavor but I can't stand the way it makes me feel.|0
179|179|The date it was fresh until was out of date I ordered on the 29th of October and fresh until date was October 26 .I will give it to my brother he doesn't care . I just didn't want to serve it to  my guests.|0
180|180|Great flavor! Only gripe is my coffee maker has a reusable steel mesh filter and with how finely ground the coffee is, some gets through it. Other than that, great coffee!|1
181|181|Good variety coffee bean; but nothing special: plus you can't keep any coffee bean fresh for long after you open the package|1
182|182|Forte Espresso was terribly over roasted. It was undrinkable, too bitter. I actually love strong, somewhat bitter espresso but no bueno, awful.|0
183|183|Peet's has been our favorite for years.  We were so happy to find it at Amazon.This is their darkest roast, and tastiest.|1
184|184|Bought some to supplement my coffee bean direct S&S and it is a nice rich roast that makes some fantastic espresso!|1
185|185|My favorite coffee every morning at a great price, thanks to Amazon!|1
186|186|The coffee itself is delicious and I highly recommend it. The reason for the one-star rating is that the coffee with stale. According to the label on the side, the coffee was nearly 3 months past its recommended use-by date.|0
187|187|I've had different Peet's coffee's before, and always enjoyed the. It seems that Major Dickason's is the most popular blend, and while I like that one too the Colombia blend has always been my favorite. The packages delivered were fresh and excellent.|1
188|188|Been buying Peet's off for years but this was a first for Amazon.  Love Peet's coffee.|1
189|189|This is my favorite coffee all that I drink at home--and the price is great!  Peets has a deep roasted flavor and the beans are always fresh.|1
190|190|This is our favorite coffee blend. We buy whole bean to control the grind for our French Press|1
191|191|Produces a nice crema in our espresso machine and tastes fantastic.  At this price, I'm a repeat customer.|1
192|192|This is the best  coffee ever  This is the only coffee and I buy now  I highly recommend this coffee|1
193|193|Excellent! My favorite new coffee! Rich flavor, nice beans. My new favorite!|1
194|194|I'm a big fan of Peets coffee  and usually purchase the house blend but decided to try this and although I gave it a five star review I probably will continue to purchase the house blend in the future. The taste was good and not bitter but I prefer a little stronger of a blend.|1
195|195|Bold coffee with no bitter after taste; mixes very well with organic beans; grinds cleanly.|1
196|196|When you read the other reviews that this coffee is exceptional...they are correct.  Love the aroma and wish I had found this great coffee sooner.  It is very satisfying to the best of the coffee lover's taste buds.|1
197|197|The coffee was roasted last year! The fresh date was February 12th, 2018. It’s May!|0
198|198|Big Bang coffee is great in the morning AND late in the day . . . can't say a bad word about PEETS|1
199|199|I am in no way a coffee connoisseur but I have been testing out a number of the brewing options along with using different brands of coffee. So far I've tried Instant, perk and french press using pre-ground (usually too fine a grind); this was my first attempt at grinding my own. These beans looked beautiful having a nice dark roast and fresh shiny appearance to go along with the great aroma each time I open the bag. The burr grinder simply enhances the sensory experience.Using this in a french press I can see this is the best flavored coffee I have yet made at home. To me it's nice and bold while not being bitter. I prefer bold but not bitter in the morning but do enjoy slightly bitter coffee after a meal and with sweet desert. This has definitely become my morning cup of java but I also will not hesitate to pair it with a sweet desert.I'm sure this review is a bit skewed when comparing these freshly ground beans to pre-ground but I do have to say it easily rivals the grind-on-demand cups of coffee I have enjoyed out-and-about.|1
200|200|This is our favorite coffee.  It is dark and bold, which as a black coffee drinker I love and my husband, who puts milk and sugar in his coffee, loves because the flavor still comes through.|1
201|201|Disappointed that this arrived with an expiration date within 8 days. Going to keep and hope it's still good once I open it.|1
202|202|Like it better than Starbuck's and i'm an avid Starbuck's fan.|1
203|203|Perfect replacement for my discontinued Marques De Paiva Breakfast Blend.  Very smooth and fresh tasting, with a perceived slightly higher caffeine content than other medium or dark roasted Peet's blends.  Highly recommend trying!|1
204|204|An outstanding coffee. Rich, complex, velvety flavors. I'm very impressed at Peet's. I haven't yet found any of their coffees that I wasn't impressed with.|1
205|205|Don't buy this coffee bean. It is not fresh.|0
206|206|I've never liked Peet's coffee, until they started the medium roast ones.  This one is perfectly decent but Big Bang is richer.|0
207|207|I asked a friend who moved to France, what I could bring to her and she said this!|1
208|208|Not bad for an inexpensive coffee really I think I liked it better than the Starbucks Italian Roast Dark Roast Ground.|1
209|209|"Be prepared to answer the question ""Are you SURE this is decaf?"" when your guests take their first sip. Simply the best decaf around; dark, rich, velvety with just enough acid to liven the flavor. I haven't done a blind taste test yet, but I suspect it would be tough to distinguish from Pete's 'normal' French Roast."|1
210|210|Package came quickly but very disappointed to see the freshest by date was the same as the date I received it.|0
211|211|To my surprise this coffee was an excellent choice.  This was my first time trying Peet's Coffee and the Major Dickasons's Blend has a strong robust flavor that was just what I was looking for.  Highly recommend.  Also, the price is excellent, I just saw it in my neighborhood grocery store (NYC) for $13.89 for the same size, so this was a bargain.|1
212|212|Always good coffee.|1
213|213|I really enjoy Peet's coffee and have tried many of their roasts.  I like them all, and can't pick a favorite.  Make sure you specify whole bean or ground when you order.|1
214|214|PERSONALLY NOT FOR ME. not to my personal taste|0
215|215|Espresso Forte is my favorite. I hate to admit it, but I even like it more than any of the local roasters.|1
216|216|I LOVE coffee. But I am not a coffee connoisseur, I make this in my espresso machine and it's brilliant tasting and wonderful.|1
217|217|I didn't catch this was a dark roast. I am more of a medium roast kind of person but thought I would try it anyways. I put one less scoop than normal in with my coffee and it was great. Would recommend this for someone who wants a full flavored coffee on the stronger end.|1
218|218|I bought this in Nov last year and only started trying it recently and I am hooked!This coffee has a pleasant aroma, stronger than typical watered-down regular coffee and yet not acidic. It drinks well even on an empty stomach!|1
219|219|Excellent coffee. I drink a lot of coffee and sometimes experience heartburn because of it. I haven't had any with this blend. This coffee is so smooth with a nice bold flavor.|1
220|220|I love Peet’s coffee and ordered because I have an injury and could not get to the store. I was disappointed in that the expiration dates were not far out ( only 3 weeks).|1
221|221|We love Peets coffee. It is full-bodied, every bit as good as Starbucks, and a good price on Amazon, especially on Subscribe and Save.|1
222|222|Ok coffee roast is a bit bitter , dose not have a good after taste, but in a pinch will do out the the best this gets a 6 out of 10|1
223|223|Decent coffee, definitely prefer Peet's whole bean. The pre-ground is usually too thin.|1
224|224|My husband loves Peet’s coffee but is not a big fun of this particular one. He is stumptown coffee kind of guy.|0
225|225|I received this product two days after the 'best used before' date. What a disappointment!|0
226|226|We love this blend, price was good, although a grocery store sale is still the best.|1
227|227|My go-to coffee for everything from cold brew to espresso. Versatile, deep and rich.|1
228|228|Finding a dark rich roast decaf is a bit of a challenge.  Peet’s nails it for my husband.|1
229|229|I'll never drink any other coffee again. Peet's is the best!|1
230|230|Tastes better than any Starbucks I've ever tried.|1
231|231|The flavor is mostly fine, a bit bitter, I think my batch was over ground, it's far too fine.|0
232|232|The very best. You want as close to non-decaf coffee taste you can get? This one is it. Make it strong.|1
233|233|Peet's is the BEST!  I wished there were more blends available through Amazon such as Garuda, Sulawesi Kalosi.|1
234|234|Full bodied flavor not often found in decaffeinated coffees fine ground but not espresso ground|1
235|235|"Package was almost at the ""use by"" date.  Pretty mediocre espresso. Nowhere near as tasty for espresso as Peet's Major Dickason."|0
236|236|A good blend, mild yet a bit of power.  Way better than anything from Starbuck's.|1
237|237|Packs a fresh punch. Works every time. Colt... I mean Peet's.|1
238|238|Okay, but a little bitter aftertaste.  Not my favorite, but I would order in a pinch.|1
239|239|One of my favorite Coffee blends. I sent this out as a gift to a friend. This particular blend, while being a dark roast, is not as bitter as some, and a good bit smoother. This is one of my everyday kind of coffees to drink.|1
240|240|Best cup of decaf around!  Rich and smooth.  Makes me hesitate to have decaf out.  I'd rather enjoy this delicious coffee at home!|1
241|241|This is my favorite coffee at a great price. It arrived promptly and the packaging was perfect.|1
242|242|Coffee beans are okay, but they clogged my Delonghi espresso machine. Will stick to lavazza beans.|0
243|243|I am comparing Peets Coffee with Dunkin Donut blend.  I like both of them.|1
244|244|I've liked t Peet's coffees in the past, but this is too acidic, it bothers my wife and frankly IO didn't like the taste. You don't know unless you try, but just not worth it just to jump start GERD.|0
245|245|Very good flavor, but I'm not used to dark roast.  It's thick!  But then I can use less for a pot of coffee.|1
246|246|The coffee is good but I am a little upset that I was sent a bag that was almost expired.|0
247|247|Not a bad cup of joe. It's not anything out of this world, but it's a satisfying cup of coffee.|1
248|248|I buy Peet's Major Dickason's all the time, usually at my local supermarket when it's on sale. This price was a little better than the store's sale price, and I didn't have to wait for a sale. This is great coffee.|1
249|249|Deep roasted flavor. The aroma just makes me want to dive into the bag - or get it as a perfume!!  My favorite coffee by far and I've tried just about every dark French roast around.|1
250|250|Someone told me this was better than Starbucks. No way.|0
251|251|Not great, average tasting. 3.5 Stars.|1
252|252|When I crave coffee in the late afternoon or evening this is my go to - It's the best tasting decaf I've ever had.  Kudos to Peets!  I served it to guests who immediately went to the Amazon site and ordered some for themselves.|1
253|253|Love Pete's.  Been drinking it for over 20 years.  I actually blend 70/30 with Italian and Decaf French.|1
254|254|This is a great blend that I will purchase in the future.. Gone are the days of ground up tin coffee for me, I'm officially a SNOB!!!|1
255|255|Really nice, full bodied coffee. Will continue to buy this brand.|1
256|256|A very interesting and unusual blend , and I suspect the only decaf version available . It is a bit on the stronger side , but an enjoyable brew.|1
257|257|Our most favorite all time coffee!!|1
258|258|this is my favorite coffee and it is hard to find in stores.|1
259|259|always my favorite!!!|1
260|260|I usually roast and grind my own coffee; Cafe Domingo is one of the very few exceptions.|1
261|261|Sookie,, this is coffee ☕|1
262|262|This is great tasting coffee. I would recommend it. However, now that it is available in the supermarkets, be sure you are not paying for shipping and compare prices. It might be cheaper in the brick and mortar store.|1
263|263|This is a superb tasting coffee bean, when ground right before a pour, it makes a heartfelt brew for the morning commute|1
264|264|I really like this coffee! I'm not a coffee snob, by any means, but undo enjoy a nice, smooth cup of coffee. This bag lasted me a little over a month, making one cup every day. With some coffees, I have to use more grounds than directed to get a strong enough flavor, but with Peet's if I use too much, it's actually too strong and bitter. Which is awesome!!|1
265|265|One of my favorites. Great flavor! Only problem I have is I tend to drink it too fast. It's that good.|1
266|266|Excellent coffee.  Smooth, full bodied.  Well rounded.  The monthly service option makes it easy to have Peets every morning!|1
267|267|This is great coffee and I love it.  So glad I can get it delivered.|1
268|268|Best ground coffee I have ever tasted!  My new favorite brand.|1
269|269|This is my favorite coffee. It's so flavorful. Nothing compares.|1
270|270|I would drink this again good breakfast coffee|1
271|271|Taste isn't as chocolatey as expected. But I am a huge fan of Peet's brand, nonetheless.|0
272|272|I'm not a big coffee aficionado, but I do love a good cup. I've tried only a few of the many brands and flavors out there, and I have a good sense of what I like and what I don't. Peet's Big Bag falls just south of the middle in my tastes. It's got a good flavor that can feel a bit heavy to my taste. I tend to like them a bit lighter, but not light. I flavored this like my usual favorites, a little milk, a little chocolate, and a little caramel. It tasted okay, but again, not quite good. The grounds are pretty stinky after brewing, which i hear isn't unusual, but I've never had this much trouble before. These grounds really stink after brewing, I was surprised coffee grounds could smell this bad.The coffee itself is okay, and again this will obviously come down to preference. For me, this isn't really my bag. Not awful, but I just can't bring myself to finish a full cup of this flavor.|0
273|273|Not a big fan of this coffee  OK but not buying again|0
274|274|Great strong coffee beans !|1
275|275|Who would have thought that decaf coffee could taste so good.  Love it!|1
276|276|Peet's is so much better than Starbucks overpriced coffee.  I hope Amazon can get their Holiday Blend soon.|1
277|277|Our favorite brand, more flavor than most brands out there!|1
278|278|No where near as full bodied as Starbucks. Very weak.|0
279|279|We mix some decaf with the regular Peet's|1
280|280|We perk this coffee blend and we love the smell and the rich taste.|1
281|281|Love this coffee. One of the best tasting dark roast decafs out there. I order it all the time.|1
282|282|Absolutely the best coffee I have ever brewed.|1
283|283|Mediocre at best. Will not reorder.|0
284|284|Good coffee, it's not powdery like Arabian coffee, a bit more grainy. It tastes good.|1
285|285|Real good coffee. It's like flipping the bird at Starbucks crap.|1
286|286|The richest decaf I have tried without bitterness|1
287|287|Love this coffee! Strong and flavorful without being bitter.|1
288|288|Excellent tasting coffee.|1
289|289|Love all Peets coffee.  Never bitter.|1
290|290|Brazil Minas Naturais. For a mainstream coffee, surprisingly rich and nuanced. With just the right amount of half and half - bold, creamy and robust...without the bitterness. I stocked up - when you find something you like at the right price, what's holding you back?|1
291|291|My wife lives on this stuff.  She orders it religiously.  She says I can highly recommend it.|1
292|292|I love Peet's coffee and this decaf version (hard to find) did not disappoint.|1
293|293|You need to manage shelf life or something, the peets coffee was stale , off flavor, very disappointed, buy product all the time in stores never this bad of quality . Bummed|0
294|294|Bought for the office.  LOVE this coffee.  We finally agree on a Peet's coffee.|1
295|295|Peets rivals other French or Italian roast decaf coffees for robust flavor.  We discovered it on vacation at an out-of-town supermarket, and were glad to find it on Amazon after we got home.  Make it with hot cocoa mix, and it beats Starbucks.|1
296|296|A great dark roast!|1
297|297|Excellent cup of coffee. Full bodied and very rich!|1
298|298|Really enjoy this flavor.  Good and strong too!!|1
299|299|"Strong, or ""bold"" as some may say. I like to drink my coffee black, but holy smokes Batman!"|0
300|300|Very good coffee|1
301|301|I love Peet’s coffee! The vendor sent ground coffee, I wanted WHOLE BEANS. THE PICTURE IN YOUR THE SATISFACTION SURVEY IS WHOLE BEANS.|0
302|302|Very good coffee, not to bold, but a medium roast, without a bite|1
303|303|Received today 26 feb 2018....freshest by date 15 feb 2018 ....not happy atall!|0
304|304|Great flavor, has the pick me up you expect from a good cup of joe|1
305|305|Delicious and water processed.|1
306|306|rich flavor, true to the Pete's brand. very satisfying cup of coffee.|1
307|307|Dude, its dirt cheap, and it tastes like it was just ground.|1
308|308|Gosh it's good coffee.|1
309|309|The item arrived on time and the flavor from this coffee is amazing!|1
310|310|great coffee.  Arrived quickly.|1
311|311|Love this coffee! So good|1
312|312|My favorite coffee. Has been for years.|1
313|313|Sorry! I do not like it. Bitter and burnt. Not smooth to my taste even with cream.|0
314|314|"I bought a Keurig Single Serve machine this past holiday season. Ever since I've been on a quest for checking out coffees, teas, k-cups vs Eko-Brew, chai mixes, etc. Whenever I obsess on a research project, I never quite end up where I thought I was going. K-Cups are ""nifty."" However, they ARE expensive and a huge impact on waste disposal. So, after testing out the make-your-own device that came with the machine, I also bought a couple of Eko-Brews (vastly prefer them). Since I'm supposed to limit my caffeine intake and this machine has tripled my consumption (it's still a toy,) I started testing out Decaf coffees. I really liked the San Francisco Bay Coffee Company's French Roast Decaf K-cups; however, they are STILL K-cups, even if much less expensive than Keurig brand-name/licensed products.So, based on others reviews, I've been testing out various offerings of 12-oz bags of French Roast Decaf. Peet's is definitely the winner so far; however, it IS more expensive. I will have to weigh the cost vs some perhaps minor differences that gives it favorite status over damned good! Without indulging in precise math, I calculate the average 8 oz cup of Peet's Joe as being around 25 cents when compared to K-cup per unit costs. Meanwhile the quest goes on. But for those who can detect subtle nuances and cost isn't all that big of a factor, I'd highly recommend trying very bold Decaf."|1
315|315|Awesome coffee!|1
316|316|Amazing aroma and delicious coffee!  Definitely recommend Peet's coffee!|1
317|317|Terrible de-caf. Will not buy again. Yuck!|0
318|318|Fantastic and delicious coffee! I definitely recommend Peet's brand of coffee.|1
319|319|This coffee bean is good for some smooth tasting Americano.Would appreciate a little bit more of texture|1
320|320|Great product, thank you|1
321|321|For medium, it was roasted to long. This is just me, I'm not an expert|0
322|322|yummy|1
323|323|Somewhat bitter-tasting. Prefer Major Dickason, which we find richly-flavored and mellow.|0
324|324|I give it a rating of B+/A-. It is a dark roast and I prefer dark roasts. It is worth trying, if like me, you want to experiment with ground coffee blends until you find a coffee you can give a A++ rating.|1
325|325|Delicious coffee!|1
326|326|my favorite coffee, hands down. Peets other coffee is fair, but this is worth the cost and is great perculated, or presssed.|1
327|327|Peet's is always good, never fail good cup of coffee. Rich and strong but smooth|1
328|328|Excellent coffee with a dark, full bodied taste without the caffeine|1
329|329|Solid, full body coffee. One of my new favorites.|1
330|330|Love the coffee, very strong.|1
331|331|Great coffee! Will order again.|1
332|332|I've been drinking Major Dickason's Peet's since 1992~!  Thankful it's still an option!!|1
333|333|Yummy, Rich, Flavorful.  Great coffee at a create price especially when you subscribe and save.|1
334|334|Peet's is my favorite, I like the roast aroma very much!|1
335|335|Coffee tastes good.  Beware that the product Is short dated..  Our coffee arrived 8/2 with a best by date of August 23rd.  Disappointed with the short date for the price.|0
336|336|All Petes coffee are excellent. Reason I gave this four stars is because I personally like a more robust blend like French roast but I wanted a decaf and thought I would try this one.  Anyone who drinks coffee would like this medium roast as it is very smooth.  P. S.  I love Major Dickasons.|1
337|337|Bought this for my mom and she loves it|1
338|338|Tried as a substitute for Major Dickason's  Bend.  NOT the same.  Ok but not great.|1
339|339|GOOD FLAVOR|1
340|340|Best coffee available|1
341|341|My favorite coffee. Strong, smooth taste. The best!|1
342|342|Can't go wrong with Peet's. Strong but smooth flavor.|1
343|343|Excellent coffee and it arrived quickly. It's really smooth for the boldness of the coffee, and it's CAFFEINE FREE! :-)|1
344|344|Great tasting coffee. Can't believe it's decaf!|1
345|345|Exactly as expected.|1
346|346|Peet's is the king of coffee grounds.|1
